 ID        Timestamp_RX        Timestamp_TX  Delay   Jitter
292 1739130260290989005 1739130260290957734  31271   2383.0
293 1739130260291993732 1739130260291960297  33435   2164.0
294 1739130260292992763 1739130260292961596  31167   2268.0
295 1739130260293991057 1739130260293959716  31341    174.0
296 1739130260294992321 1739130260294961457  30864    477.0
297 1739130260295990181 1739130260295958360  31821    957.0
298 1739130260296990773 1739130260296958145  32628    807.0
299 1739130260297986223 1739130260297956710  29513   3115.0
300 1739130260298988103 1739130260298958046  30057    544.0
301 1739130260299990647 1739130260299959991  30656    599.0
302 1739130260300992041 1739130260300960792  31249    593.0
303 1739130260301992369 1739130260301959533  32836   1587.0
304 1739130260302989857 1739130260302959626  30231   2605.0
305 1739130260303991513 1739130260303959653  31860   1629.0
306 1739130260304990655 1739130260304960620  30035   1825.0
307 1739130260305989056 1739130260305959250  29806    229.0
308 1739130260306988609 1739130260306958100  30509    703.0
309 1739130260307986822 1739130260307956660  30162    347.0
310 1739130260308987096 1739130260308956211  30885    723.0
311 1739130260309987272 1739130260309957170  30102    783.0
312 1739130260310989195 1739130260310958480  30715    613.0
313 1739130260311987160 1739130260311956551  30609    106.0
314 1739130260312989855 1739130260312959226  30629     20.0
315 1739130260313987533 1739130260313957924  29609   1020.0
316 1739130260314988258 1739130260314957980  30278    669.0
317 1739130260316001858 1739130260315967840  34018   3740.0
318 1739130260316992860 1739130260316959513  33347    671.0
319 1739130260317989973 1739130260317957190  32783    564.0
320 1739130260318992086 1739130260318957781  34305   1522.0
321 1739130260319990463 1739130260319957512  32951   1354.0
322 1739130260320990451 1739130260320957369  33082    131.0
323 1739130260321990135 1739130260321956674  33461    379.0
324 1739130260322990823 1739130260322957466  33357    104.0
325 1739130260323992005 1739130260323958296  33709    352.0
326 1739130260324990962 1739130260324957631  33331    378.0
327 1739130260325991870 1739130260325957890  33980    649.0
328 1739130260326990389 1739130260326957718  32671   1309.0
329 1739130260327989963 1739130260327957504  32459    212.0
330 1739130260328989035 1739130260328955978  33057    598.0
331 1739130260329976117 1739130260329925207  50910  17853.0
332 1739130260330998327 1739130260330964534  33793  17117.0
333 1739130260331988811 1739130260331956406  32405   1388.0
334 1739130260332991651 1739130260332956609  35042   2637.0
335 1739130260334002407 1739130260333965654  36753   1711.0
336 1739130260334989775 1739130260334956919  32856   3897.0
337 1739130260335991187 1739130260335957082  34105   1249.0
338 1739130260336991702 1739130260336959712  31990   2115.0
339 1739130260337986322 1739130260337956187  30135   1855.0
340 1739130260338991273 1739130260338959367  31906   1771.0
341 1739130260339988661 1739130260339956909  31752    154.0
342 1739130260340990689 1739130260340959673  31016    736.0
343 1739130260341994231 1739130260341961143  33088   2072.0
344 1739130260342993136 1739130260342957852  35284   2196.0
345 1739130260343990093 1739130260343957703  32390   2894.0
346 1739130260344990754 1739130260344957157  33597   1207.0
